"target_id","comparator_id","outcome_id","analysis_id","log_relative_risk","log_likelihood"
1,2,4008,1,-0.735552777777778,-124.40134738941
1,2,4008,1,-0.7195625,-119.155252914476
1,2,4008,1,-0.703572222222222,-114.029356530405
1,2,4008,1,-0.687581944444444,-109.023322705412
1,2,4008,1,-0.671591666666667,-104.136802193285
1,2,4008,1,-0.655601388888889,-99.3694323616728
1,2,4008,1,-0.639611111111111,-94.7208373974863
1,2,4008,1,-0.623620833333333,-90.1906289455364
1,2,4008,1,-0.607630555555556,-85.7784041985287
1,2,4008,1,-0.591640277777778,-81.4837489858437
1,2,4008,1,-0.57565,-77.3062350483215
1,2,4008,1,-0.559659722222222,-73.2454237854199
1,2,4008,1,-0.543669444444445,-69.3008622235284
1,2,4008,1,-0.527679166666667,-65.472086634938
1,2,4008,1,-0.511688888888889,-61.7586216051695
1,2,4008,1,-0.495698611111111,-58.1599795333241
1,2,4008,1,-0.479708333333333,-54.6756610551238
1,2,4008,1,-0.463718055555556,-51.3051577253718
1,2,4008,1,-0.447727777777778,-48.0479488138953
1,2,4008,1,-0.4317375,-44.9035018397681
1,2,4008,1,-0.415747222222222,-41.8712753946547
1,2,4008,1,-0.399756944444445,-38.9507186586234
1,2,4008,1,-0.383766666666667,-36.1412683229446
1,2,4008,1,-0.367776388888889,-33.4423537023486
1,2,4008,1,-0.351786111111111,-30.8533925632255
1,2,4008,1,-0.335795833333333,-28.3737952742176
1,2,4008,1,-0.319805555555556,-26.0029625644474
1,2,4008,1,-0.303815277777778,-23.7402862316194
1,2,4008,1,-0.287825,-21.5851502454861
1,2,4008,1,-0.271834722222222,-19.5369284226508
1,2,4008,1,-0.255844444444445,-17.5949891743767
1,2,4008,1,-0.236799343531154,-15.4198447715989
1,2,4008,1,-0.217754242617864,-13.3934659274419
1,2,4008,1,-0.198709141704574,-11.514740915627
1,2,4008,1,-0.179664040791284,-9.78254627615934
1,2,4008,1,-0.160618939877994,-8.19574364678374
1,2,4008,1,-0.141573838964704,-6.75318318623249
1,2,4008,1,-0.122528738051414,-5.45370188480229
1,2,4008,1,-0.103483637138123,-4.29612718200406
1,2,4008,1,-0.0844385362248332,-3.2792734431896
1,2,4008,1,-0.0653934353115431,-2.40194637639433
1,2,4008,1,-0.0463483343982529,-1.66294218930125
1,2,4008,1,-0.0273032334849628,-1.06104681124998
1,2,4008,1,-0.00825813257167264,-0.595037810508074
1,2,4008,1,0.0107869683416175,-0.2636860747225
1,2,4008,1,0.0298320692549076,-0.0657551930617046
1,2,4008,1,0.0488771701681978,0
1,2,4008,1,0.0618126248104632,-0.0300779578628863
1,2,4008,1,0.0747480794527286,-0.120160505708554
1,2,4008,1,0.0876835340949941,-0.269854084934195
1,2,4008,1,0.100618988737259,-0.4787636485853
1,2,4008,1,0.113554443379525,-0.746493101607484
1,2,4008,1,0.12648989802179,-1.07264509968263
1,2,4008,1,0.139425352664056,-1.45682084015971
1,2,4008,1,0.152360807306321,-1.8986227594487
1,2,4008,1,0.165296261948587,-2.39765178380185
1,2,4008,1,0.178231716590852,-2.95350770250298
1,2,4008,1,0.191167171233117,-3.56578964881191
1,2,4008,1,0.204102625875383,-4.23409816879939
1,2,4008,1,0.217038080517648,-4.95803024455381
1,2,4008,1,0.229973535159914,-5.73718603737871
1,2,4008,1,0.242908989802179,-6.57116332494843
1,2,4008,1,0.255844444444445,-7.45956106366793
1,2,4008,1,0.271834722222222,-8.6323777168891
1,2,4008,1,0.287825,-9.88697859656713
1,2,4008,1,0.303815277777778,-11.2226065251452
1,2,4008,1,0.319805555555556,-12.6385026551234
1,2,4008,1,0.335795833333333,-14.1339081839451
1,2,4008,1,0.351786111111111,-15.7080668962026
1,2,4008,1,0.367776388888889,-17.3602211885027
1,2,4008,1,0.383766666666667,-19.089616483172
1,2,4008,1,0.399756944444444,-20.8954996358279
1,2,4008,1,0.415747222222222,-22.7771158762953
1,2,4008,1,0.4317375,-24.7337158480441
1,2,4008,1,0.447727777777778,-26.7645488889211
1,2,4008,1,0.463718055555556,-28.8688677792816
1,2,4008,1,0.479708333333333,-31.0459280411287
1,2,4008,1,0.495698611111111,-33.2949858548309
1,2,4008,1,0.511688888888889,-35.6152995596185
1,2,4008,1,0.527679166666667,-38.0061307411434
1,2,4008,1,0.543669444444444,-40.4667436939162
1,2,4008,1,0.559659722222222,-42.9964053311578
1,2,4008,1,0.57565,-45.5943850857311
1,2,4008,1,0.591640277777778,-48.2599555318848
1,2,4008,1,0.607630555555555,-50.9923917195483
1,2,4008,1,0.623620833333333,-53.7909729050025
1,2,4008,1,0.639611111111111,-56.654981150863
1,2,4008,1,0.655601388888889,-59.5837028327896
1,2,4008,1,0.671591666666667,-62.5764258122799
1,2,4008,1,0.687581944444444,-65.6324439300988
1,2,4008,1,0.703572222222222,-68.7510527167324
1,2,4008,1,0.7195625,-71.93155256106
1,2,4008,1,0.735552777777778,-75.1732483499036
1,2,4008,1,0.751543055555555,-78.4754474585789
1,2,4008,1,0.767533333333333,-81.8374624027456
1,2,4008,1,0.783523611111111,-85.2586104421807
