targetCohortDefinitionId,timeAtRiskId,outcomeCohortDefinitionId,subgroupCohortDefinitionId,random.te,random.te.lower,random.te.upper,seTE.random,tau2,se.tau2,tau,lower.predict,upper.predict,seTE.predict
104,5,312,42,-8.7369210518070215,-9.149038819583696,-8.324803284030347,0.2102680309574093,0.2970550524854346,0.2418252264920406,0.545027570390191,-10.238606683619203,-7.23523541999484,0.5841812195955469
104,5,312,51,-7.528751269037986,-8.090793427603199,-6.966709110472774,0.28676147265895174,0.5729851353351095,0.46644833652322004,0.7569578160869399,-9.609521399073703,-5.44798113900227,0.809454926192089
104,5,312,52,-6.367368849731849,-6.761790288447596,-5.9729474110161025,0.20123912573235694,0.2826615769009987,0.21467457675823637,0.5316592676715028,-7.828668911537412,-4.906068787926286,0.5684705468417182
104,5,312,61,-6.373248453379675,-6.907714897993248,-5.838782008766103,0.27269197231652026,0.5186231951794595,0.4143785593530509,0.7201549799726858,-8.352736853909878,-4.393760052849474,0.7700546129628297
104,5,312,62,-5.367479715556232,-5.701901385704103,-5.033058045408362,0.17062643639666128,0.2032444085517469,0.15794895804091588,0.45082636186424024,-6.606590259014746,-4.1283691720977185,0.4820350499177117
104,5,312,71,-5.771455629923232,-6.149758482927839,-5.393152776918625,0.1930152063959399,0.29620821244505635,0.26109443143660954,0.5442501377538239,-7.184455768665496,-4.358455491180968,0.5774626241975523
104,5,312,72,-5.031664972169887,-5.330285993336099,-4.733043951003675,0.15236046351958332,0.1850053353326271,0.16091726032476172,0.43012246550561284,-6.148215935845634,-3.9151140084941396,0.45631025210543913
104,5,312,81,-5.088128372331653,-5.430702924857465,-4.74555381980584,0.17478614669861142,0.19101644377948318,0.1734112240656204,0.43705428012946307,-6.2981234988483985,-3.878133245814907,0.4707086581498493
104,5,312,82,-4.673491812738645,-4.995075335761541,-4.351908289715748,0.16407624097152088,0.18066129660732885,0.1695713725857543,0.4250426997459536,-5.84467978611118,-3.5023038393661095,0.45561201636773524
104,5,312,91,-4.470563417067959,-4.817235185347896,-4.123891648788022,0.17687660131228933,0.18686208752240874,0.17367199118006435,0.43227547642956654,-5.767336930008243,-3.1737899041276756,0.46706254357868954
104,5,312,92,-4.190621980750202,-4.577518631489926,-3.8037253300104785,0.19739987764648492,0.2325706450707741,0.22580893601674845,0.48225578801168795,-5.637406603717976,-2.7438373577824278,0.5210924646985613
104,5,314,21,-9.74458554146065,-10.171990683744584,-9.317180399176715,0.2180678551520599,0.3609232808817591,0.25042820112414255,0.6007689080518058,-11.190379844502047,-8.298791238419252,0.6391219526290572
104,5,314,22,-9.640986478678347,-10.101095451150426,-9.180877506206267,0.2347537894070304,0.4395157604131445,0.30432163349609714,0.6629598482662011,-11.231952302813093,-8.0500206545436,0.703295885139466
104,5,314,31,-9.613528476027335,-9.938100572506121,-9.28895637954855,0.16560105136572353,0.23216488874791083,0.1573739826548292,0.4818349185643469,-10.766093880758408,-8.460963071296263,0.5094983777808756
104,5,314,32,-9.136171461325539,-9.353908814466367,-8.91843410818471,0.1110925276476063,0.10686517684761457,0.07300159364733312,0.3269023965155572,-9.917211243672368,-8.35513167897871,0.34526327135498897
104,5,314,41,-8.717323893585977,-8.904546228796828,-8.530101558375126,0.09552335486143451,0.08187252723162497,0.05982251683687227,0.2861337575883436,-9.399720535111845,-8.03492725206011,0.30165748549573324
